bird,abundance,img,ebird,wikipedia,allaboutbirds,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall
Snow Goose,RRX--XU,https://upload.wikimedia.org/wikipedia/commons/1/1f/Snow_goose_in_Central_Park_%2833138%29.jpg,https://ebird.org/species/snogoo,https://en.wikipedia.org/wiki/Snow_goose,https://www.allaboutbirds.org/guide/Snow_Goose/overview,,,5 - rare,5 - rare,6 - extremely rare,,,6 - extremely rare,4 - uncommon
Ross's Goose,RR----R,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ross%27s_Goose_%28Chen_rossii%29_%2823321411711%29.jpg,https://ebird.org/species/rosgoo/,https://en.wikipedia.org/wiki/Ross%27s_goose,https://www.allaboutbirds.org/guide/Rosss_Goose/overview,,,5 - rare,5 - rare,,,,,5 - rare
Greater White-fronted Goose,RR----U,https://upload.wikimedia.org/wikipedia/commons/4/4f/Anser_albifrons_30050.JPG,https://ebird.org/species/gwfgoo,https://en.wikipedia.org/wiki/Greater_white-fronted_goose,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/overview,,,5 - rare,5 - rare,,,,,4 - uncommon
Cackling Goose,UU---RU,https://upload.wikimedia.org/wikipedia/commons/b/b4/AleutianCanadaGoose2.jpg,https://ebird.org/species/cacgoo1,https://en.wikipedia.org/wiki/Cackling_goose,https://www.allaboutbirds.org/guide/Cackling_Goose/overview,,,4 - uncommon,4 - uncommon,,,,5 - rare,4 - uncommon
Canada Goose,AAACCAA,https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg,https://ebird.org/species/cangoo/,https://en.wikipedia.org/wiki/Canada_goose,https://www.allaboutbirds.org/guide/Canada_Goose/overview,,,1 - abundant,1 - abundant,1 - abundant,2 - common,2 - common,1 - abundant,1 - abundant
Trumpeter Swan,XX----X,https://upload.wikimedia.org/wikipedia/commons/d/d8/Trumpeter_swans_in_winter.jpg,https://ebird.org/species/truswa,https://en.wikipedia.org/wiki/Trumpeter_swan,https://www.allaboutbirds.org/guide/Trumpeter_Swan/overview,,,6 - extremely rare,6 - extremely rare,,,,,6 - extremely rare
Tundra Swan,XX----R,https://upload.wikimedia.org/wikipedia/commons/4/4a/Cygnus_bewickii_01.jpg,https://ebird.org/species/tunswa,https://en.wikipedia.org/wiki/Tundra_swan,https://www.allaboutbirds.org/guide/Tundra_Swan,,,6 - extremely rare,6 - extremely rare,,,,,5 - rare
Wood Duck,RFFFFFF,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wood_Duck_%28Aix_sponsa%29%2C_Parc_du_Rouge-Clo%C3%AEtre%2C_Brussels.jpg,https://ebird.org/species/wooduc,https://en.wikipedia.org/wiki/Wood_duck,https://www.allaboutbirds.org/guide/wood_duck,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common
Blue-winged Teal,-FCUUCF,https://upload.wikimedia.org/wikipedia/commons/6/65/Blue-Winged_Teal.jpg,https://ebird.org/species/buwtea,https://en.wikipedia.org/wiki/Blue-winged_teal,https://www.allaboutbirds.org/guide/Blue-winged_Teal/overview,,,,3 - fairly common,2 - common,4 - uncommon,4 - uncommon,2 - common,3 - fairly common
Northern Shoveler,RFUXXUU,https://upload.wikimedia.org/wikipedia/commons/a/a7/Northern_shoveler_Steve_Sinclair_outreach_use_only_%2819838806616%29.jpg,https://ebird.org/species/norsho,https://en.wikipedia.org/wiki/Northern_shoveler,https://www.allaboutbirds.org/guide/Northern_Shoveler,,,5 - rare,3 - fairly common,4 - uncommon,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon
Gadwall,RFR-XRF,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gadwall-Anas-strepera.jpg,https://ebird.org/species/gadwal,https://en.wikipedia.org/wiki/Gadwall,https://www.allaboutbirds.org/guide/gadwall,,,5 - rare,3 - fairly common,5 - rare,,6 - extremely rare,5 - rare,3 - fairly common
American Wigeon,XFR--RF,https://upload.wikimedia.org/wikipedia/commons/b/b5/Anas_americana_-_drake.jpg,https://ebird.org/species/amewig,https://en.wikipedia.org/wiki/American_wigeon,https://www.allaboutbirds.org/guide/American_Wigeon/overview,,,6 - extremely rare,3 - fairly common,5 - rare,,,5 - rare,3 - fairly common
Mallard,CAACCAA,https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg,https://ebird.org/species/mallar3,https://en.wikipedia.org/wiki/Mallard,https://www.allaboutbirds.org/guide/Mallard/overview,,,2 - common,1 - abundant,1 - abundant,2 - common,2 - common,1 - abundant,1 - abundant
American Black Duck,FFR-XXU,https://upload.wikimedia.org/wikipedia/commons/e/ea/Anas_Rubripes_and_Anas_Platyrhynchos_August_2008.JPG,https://ebird.org/species/ambduc/,https://en.wikipedia.org/wiki/American_black_duck,https://www.allaboutbirds.org/guide/American_Black_Duck/overview,,,3 - fairly common,3 - fairly common,5 - rare,,6 - extremely rare,6 - extremely rare,4 - uncommon
Northern Pintail,UUX--RU,https://upload.wikimedia.org/wikipedia/commons/0/0b/Northern_Pintails_%28Male_%26_Female%29_I_IMG_0911.jpg,https://ebird.org/species/norpin,https://en.wikipedia.org/wiki/Northern_pintail,https://www.allaboutbirds.org/guide/Northern_Pintail/overview,,,4 - uncommon,4 - uncommon,6 - extremely rare,,,5 - rare,4 - uncommon
Green-winged Teal,RFRXXFC,https://upload.wikimedia.org/wikipedia/commons/0/07/Green-winged_Teal%2C_Port_Aransas%2C_Texas.jpg,https://ebird.org/species/gnwtea,https://en.wikipedia.org/wiki/Green-winged_teal,https://www.allaboutbirds.org/guide/Green-winged_Teal/overview,,,5 - rare,3 - fairly common,5 - rare,6 - extremely rare,6 - extremely rare,3 - fairly common,2 - common
Canvasback,RU----U,https://upload.wikimedia.org/wikipedia/commons/e/e1/Aythya_valisineria_at_Las_Gallinas_Wildlife_Ponds.jpg,https://ebird.org/species/canvas,https://en.wikipedia.org/wiki/Canvasback,https://www.allaboutbirds.org/guide/Canvasback/overview,,,5 - rare,4 - uncommon,,,,,4 - uncommon
Redhead,RUR---U,https://upload.wikimedia.org/wikipedia/commons/0/0b/Redhead_duck_%28Aythya_americana%2C_male%29.jpg,https://ebird.org/species/redhea,https://en.wikipedia.org/wiki/Redhead_(bird),https://www.allaboutbirds.org/guide/Redhead/overview,,,5 - rare,4 - uncommon,5 - rare,,,,4 - uncommon
Ring-necked Duck,RCF---F,https://upload.wikimedia.org/wikipedia/commons/9/9a/Aythya-collaris-001.jpg,https://ebird.org/species/rinduc,https://en.wikipedia.org/wiki/Ring-necked_duck,https://www.allaboutbirds.org/guide/Ring-necked_Duck/overview,,,5 - rare,2 - common,3 - fairly common,,,,3 - fairly common
Greater Scaup,XRX---X,https://upload.wikimedia.org/wikipedia/commons/f/fb/Greater-scaup-male2.jpg,https://ebird.org/species/gresca,https://en.wikipedia.org/wiki/Greater_scaup,https://www.allaboutbirds.org/guide/Greater_Scaup/overview,,,6 - extremely rare,5 - rare,6 - extremely rare,,,,6 - extremely rare
Lesser Scaup,RCU---F,https://upload.wikimedia.org/wikipedia/commons/b/b1/Lesser_scaup_-_Aythya_affinis.jpg,https://ebird.org/species/lessca,https://en.wikipedia.org/wiki/Lesser_scaup,https://www.allaboutbirds.org/guide/Lesser_Scaup/overview,,,5 - rare,2 - common,4 - uncommon,,,,3 - fairly common
Surf Scoter,-XX---X,https://upload.wikimedia.org/wikipedia/commons/1/10/Melanitta_perspicillata.jpg,https://ebird.org/species/sursco,https://en.wikipedia.org/wiki/Surf_scoter,https://www.allaboutbirds.org/guide/Surf_Scoter/overview,,,,6 - extremely rare,6 - extremely rare,,,,6 - extremely rare
White-winged Scoter,XX----X,https://upload.wikimedia.org/wikipedia/commons/f/ff/White-winged_Scoter.jpg,https://ebird.org/species/whwsco2,https://en.wikipedia.org/wiki/White-winged_scoter,https://www.allaboutbirds.org/guide/White-winged_Scoter/overview,,,6 - extremely rare,6 - extremely rare,,,,,6 - extremely rare
Black Scoter,-----XX,https://upload.wikimedia.org/wikipedia/commons/2/2c/Melanitta_americana_Barnegat_NJ.jpg,https://ebird.org/species/blksco2/,https://en.wikipedia.org/wiki/Black_scoter,https://www.allaboutbirds.org/guide/Black_Scoter/overview,,,,,,,,6 - extremely rare,6 - extremely rare
Bufflehead,XFU---F,https://upload.wikimedia.org/wikipedia/commons/0/0f/Bucephala-albeola-007.jpg,https://ebird.org/species/buffle,https://en.wikipedia.org/wiki/Bufflehead,https://www.allaboutbirds.org/guide/Bufflehead/overview,,,6 - extremely rare,3 - fairly common,4 - uncommon,,,,3 - fairly common
Common Goldeneye,FF----F,https://upload.wikimedia.org/wikipedia/commons/3/34/Common_Goldeneye_%28Bucephala_clangula%29.jpg,https://ebird.org/species/comgol,https://en.wikipedia.org/wiki/Common_goldeneye,https://www.allaboutbirds.org/guide/Common_Goldeneye/overview,,,3 - fairly common,3 - fairly common,,,,,3 - fairly common
Hooded Merganser,RFR--RR,https://upload.wikimedia.org/wikipedia/commons/1/15/Hooded_Merganser_%28Lophodytes_cucullatus%29_%281%29.JPG,https://ebird.org/species/hoomer/,https://en.wikipedia.org/wiki/Hooded_merganser,https://www.allaboutbirds.org/guide/Hooded_Merganser/overview,,,5 - rare,3 - fairly common,5 - rare,,,5 - rare,5 - rare
Common Merganser,UFU---U,https://upload.wikimedia.org/wikipedia/commons/b/be/Mergus_merganser_-Sandwell_-England_-male-8.jpg,https://ebird.org/species/commer,https://en.wikipedia.org/wiki/Common_merganser,https://www.allaboutbirds.org/guide/Common_merganser/overview,,,4 - uncommon,3 - fairly common,4 - uncommon,,,,4 - uncommon
Red-breasted Merganser,XUR---R,https://upload.wikimedia.org/wikipedia/commons/6/65/Mergus_serrator_-New_Jersey_-USA_-winter-8.jpg,https://ebird.org/species/rebmer,https://en.wikipedia.org/wiki/Red-breasted_merganser,https://www.allaboutbirds.org/guide/Red-breasted_Merganser/overview,,,6 - extremely rare,4 - uncommon,5 - rare,,,,5 - rare
Ruddy Duck,XFUXXUU,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ruddy_Duck_%28Oxyura_jamaicensis%29_RWD2.jpg,https://ebird.org/species/rudduc,https://en.wikipedia.org/wiki/Ruddy_duck,https://www.allaboutbirds.org/guide/Ruddy_Duck/overview,,,6 - extremely rare,3 - fairly common,4 - uncommon,6 - extremely rare,6 - extremely rare,4 - uncommon,4 - uncommon
Ring-necked Pheasant,RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/d/d7/Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg,https://ebird.org/species/rinphe,https://en.wikipedia.org/wiki/Common_pheasant,https://www.allaboutbirds.org/guide/Ring-necked_Pheasant/overview,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare
Wild Turkey (released),RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/5/50/Gall-dindi.jpg,https://ebird.org/species/wiltur,https://en.wikipedia.org/wiki/Wild_turkey,https://www.allaboutbirds.org/guide/wild_turkey/overview,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare
Pied-billed Grebe,XFFUUFU,https://upload.wikimedia.org/wikipedia/commons/8/8c/Podilymbus-podiceps-001.jpg,https://ebird.org/species/pibgre,https://en.wikipedia.org/wiki/Pied-billed_grebe,https://www.allaboutbirds.org/guide/Pied-billed_Grebe/overview,,,6 - extremely rare,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon
Horned Grebe,XUU---R,https://upload.wikimedia.org/wikipedia/commons/6/6e/Podiceps_auritus_oisillons.jpg,https://ebird.org/species/horgre,https://en.wikipedia.org/wiki/Horned_grebe,https://www.allaboutbirds.org/guide/Horned_Grebe/overview,,,6 - extremely rare,4 - uncommon,4 - uncommon,,,,5 - rare
Eared Grebe,-XX----,https://upload.wikimedia.org/wikipedia/commons/1/10/Black-necked_Grebe_Schwarzhalstaucher.jpg,https://ebird.org/species/eargre,https://en.wikipedia.org/wiki/Black-necked_grebe,https://www.allaboutbirds.org/guide/Eared_Grebe/overview,,,,6 - extremely rare,6 - extremely rare,,,,
Rock Dove,CCCCCCC,https://upload.wikimedia.org/wikipedia/commons/5/56/Paloma_brav%C3%ADa_%28Columba_livia%29%2C_Palacio_de_Nymphenburg%2C_M%C3%BAnich%2C_Alemania01.JPG,https://ebird.org/species/rocpig,https://en.wikipedia.org/wiki/Rock_dove,https://www.allaboutbirds.org/guide/Rock_Pigeon/overview,,,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common
Eurasian Collared-Dove,-RRRRRR,https://upload.wikimedia.org/wikipedia/commons/0/0b/Eurasian_collared-dove_%28Streptopelia_decaocto%29.jpg,https://ebird.org/species/eucdov,https://en.wikipedia.org/wiki/Eurasian_collared_dove,https://www.allaboutbirds.org/guide/Eurasian_Collared-Dove/overview,,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare
Mourning Dove,FFCCCCC,https://upload.wikimedia.org/wikipedia/commons/b/b7/Mourning_Dove_2006.jpg,https://ebird.org/species/moudov,https://en.wikipedia.org/wiki/Mourning_dove,https://www.allaboutbirds.org/guide/Mourning_Dove/overview,,,3 - fairly common,3 - fairly common,2 - common,2 - common,2 - common,2 - common,2 - common
Yellow-billed Cuckoo,--UURU-,https://upload.wikimedia.org/wikipedia/commons/3/34/Coccyzus-americanus-001.jpg,https://ebird.org/species/yebcuc,https://en.wikipedia.org/wiki/Yellow-billed_cuckoo,https://www.allaboutbirds.org/guide/Yellow-billed_Cuckoo/overview,,,,,4 - uncommon,4 - uncommon,5 - rare,4 - uncommon,
Black-billed Cuckoo,--URRU-,https://upload.wikimedia.org/wikipedia/commons/6/67/Black-billed-cuckoo2.jpg,https://ebird.org/species/bkbcuc,https://en.wikipedia.org/wiki/Black-billed_cuckoo,https://www.allaboutbirds.org/guide/Black-billed_Cuckoo/overview,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,
Common Nighthawk,--URRU-,https://upload.wikimedia.org/wikipedia/commons/e/eb/Common_Nighthawk_%2814428313550%29.jpg,https://ebird.org/species/comnig,https://en.wikipedia.org/wiki/Common_nighthawk,https://www.allaboutbirds.org/guide/Common_Nighthawk/overview,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,
Eastern Whip-poor-will,--RXX--,https://upload.wikimedia.org/wikipedia/commons/2/20/Caprimulgus_vociferusAAP065B.jpg,https://ebird.org/species/whip-p1,https://en.wikipedia.org/wiki/Eastern_whip-poor-will,https://www.allaboutbirds.org/guide/Eastern_Whip-poor-will/overview,,,,,5 - rare,6 - extremely rare,6 - extremely rare,,
Chimney Swift,-RFFFFF,https://www.allaboutbirds.org/guide/assets/photo/66113891-1280px.jpg,https://ebird.org/species/chiswi/,https://en.wikipedia.org/wiki/Chimney_swift,https://www.allaboutbirds.org/guide/Chimney_Swift/overview,,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common
Ruby-throated Hummingbird,--UUUFX,https://upload.wikimedia.org/wikipedia/commons/f/f3/Archilochus_colubris_%28Male%29.jpg,https://ebird.org/species/rthhum,https://en.wikipedia.org/wiki/Ruby-throated_hummingbird,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird/overview,,,,,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common,6 - extremely rare
King Rail,--RRR--,https://upload.wikimedia.org/wikipedia/commons/5/5f/KingRail23.jpg,https://ebird.org/species/kinrai4,https://en.wikipedia.org/wiki/King_rail,https://www.allaboutbirds.org/guide/King_Rail/overview,,,,,5 - rare,5 - rare,5 - rare,,
Virginia Rail,-RFRRRX,https://upload.wikimedia.org/wikipedia/commons/a/a1/Rallus_limicola_-Cloisters_Park%2C_Morro_Bay%2C_California%2C_USA-8_%281%29.jpg,https://ebird.org/species/virrai/L566915,https://en.wikipedia.org/wiki/Virginia_rail,https://www.allaboutbirds.org/guide/Virginia_Rail/overview,,,,5 - rare,3 - fairly common,5 - rare,5 - rare,5 - rare,6 - extremely rare
Sora,-FFUFFU,https://upload.wikimedia.org/wikipedia/commons/2/2d/Sora_%28Porzana_carolina%29.jpg,https://ebird.org/species/sora/,https://en.wikipedia.org/wiki/Sora_(bird),https://www.allaboutbirds.org/guide/Sora/overview,,,,3 - fairly common,3 - fairly common,4 - uncommon,3 - fairly common,3 - fairly common,4 - uncommon
Common Gallinule,--RRRR-,https://upload.wikimedia.org/wikipedia/commons/2/20/Common-gallinule-galapagos-casey-klebba.jpg,https://ebird.org/species/comgal1/,https://en.wikipedia.org/wiki/Common_gallinule,https://www.allaboutbirds.org/guide/Common_Gallinule/overview,,,,,5 - rare,5 - rare,5 - rare,5 - rare,
American Coot,XCCUUCF,https://upload.wikimedia.org/wikipedia/commons/f/f5/American-coot-casey-klebba.jpg,https://ebird.org/species/y00475,https://en.wikipedia.org/wiki/American_coot,https://www.allaboutbirds.org/guide/American_Coot/overview,,,6 - extremely rare,2 - common,2 - common,4 - uncommon,4 - uncommon,2 - common,3 - fairly common
Yellow Rail,-XR---X,https://upload.wikimedia.org/wikipedia/commons/6/62/Yellow_Rail.jpg,https://ebird.org/species/yelrai,https://en.wikipedia.org/wiki/Yellow_rail,https://www.allaboutbirds.org/guide/Yellow_Rail/overview,,,,6 - extremely rare,5 - rare,,,,6 - extremely rare
Sandhill Crane,XFURRRF,https://upload.wikimedia.org/wikipedia/commons/e/e2/Grus_canadensis.jpg,https://ebird.org/species/sancra,https://en.wikipedia.org/wiki/Sandhill_crane,https://www.allaboutbirds.org/guide/Sandhill_Crane/overview,,,6 - extremely rare,3 - fairly common,4 - uncommon,5 - rare,5 - rare,5 - rare,3 - fairly common
Whooping Crane,-R----R,https://upload.wikimedia.org/wikipedia/commons/7/7f/Grus_americana_Sasata.jpg,https://ebird.org/species/whocra,https://en.wikipedia.org/wiki/Whooping_crane,https://www.allaboutbirds.org/guide/Whooping_Crane/overview,,,,5 - rare,,,,,5 - rare
American Avocet,--X-XXX,https://upload.wikimedia.org/wikipedia/commons/d/de/American_Avocet1.jpg,https://ebird.org/species/ameavo,https://en.wikipedia.org/wiki/American_avocet,https://www.allaboutbirds.org/guide/American_Avocet/overview,,,,,6 - extremely rare,,6 - extremely rare,6 - extremely rare,6 - extremely rare
Black-bellied Plover,--R-UU-,https://upload.wikimedia.org/wikipedia/commons/a/aa/Pluvialis_squatarola_%28summer_plumage%29.jpg,https://ebird.org/species/bkbplo/,https://en.wikipedia.org/wiki/Grey_plover,https://www.allaboutbirds.org/guide/Black-bellied_Plover/overview,,,,,5 - rare,,4 - uncommon,4 - uncommon,
American Golden-Plover,--R-XR-,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pluvialis_dominica1.jpg,https://ebird.org/species/amgplo/,https://en.wikipedia.org/wiki/American_golden_plover,https://www.allaboutbirds.org/guide/American_Golden-Plover/overview,,,,,5 - rare,,6 - extremely rare,5 - rare,
Semipalmated Plover,--U-FFR,https://upload.wikimedia.org/wikipedia/commons/b/bc/Semipalmated_Plover.jpg,https://ebird.org/species/semplo,https://en.wikipedia.org/wiki/Semipalmated_plover,https://www.allaboutbirds.org/guide/Semipalmated_Plover/overview,,,,,4 - uncommon,,3 - fairly common,3 - fairly common,5 - rare
Killdeer,RFCCCCU,https://upload.wikimedia.org/wikipedia/commons/e/ef/Killdeer.jpg,https://ebird.org/species/killde,https://en.wikipedia.org/wiki/Killdeer,https://www.allaboutbirds.org/guide/Killdeer/overview,,,5 - rare,3 - fairly common,2 - common,2 - common,2 - common,2 - common,4 - uncommon
Stilt Sandpiper,--R-FFU,https://upload.wikimedia.org/wikipedia/commons/7/75/Calidris_himantopus.jpg,https://ebird.org/species/stisan,https://en.wikipedia.org/wiki/Stilt_sandpiper,https://www.allaboutbirds.org/guide/Stilt_Sandpiper/overview,,,,,5 - rare,,3 - fairly common,3 - fairly common,4 - uncommon
Sanderling,----XX-,https://upload.wikimedia.org/wikipedia/commons/7/73/Calidris_alba_-_Laem_Phak_Bia.jpg,https://ebird.org/species/sander,https://en.wikipedia.org/wiki/Sanderling,https://www.allaboutbirds.org/guide/Sanderling/overview,,,,,,,6 - extremely rare,6 - extremely rare,
Dunlin,-RU-XRU,https://upload.wikimedia.org/wikipedia/commons/f/fe/Dunlin_%28Calidris_alpina%29_juvenile.jpg,https://ebird.org/species/dunlin/,https://en.wikipedia.org/wiki/Dunlin,https://www.allaboutbirds.org/guide/Dunlin/overview,,,,5 - rare,4 - uncommon,,6 - extremely rare,5 - rare,4 - uncommon
Baird's Sandpiper,--R-RR-,https://upload.wikimedia.org/wikipedia/commons/2/2c/Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg,https://ebird.org/species/baisan,https://en.wikipedia.org/wiki/Baird's_sandpiper,https://www.allaboutbirds.org/guide/Bairds_Sandpiper/overview,,,,,5 - rare,,5 - rare,5 - rare,
Least Sandpiper,--F-FFU,https://upload.wikimedia.org/wikipedia/commons/1/18/Least_Sandpiper.jpg,https://ebird.org/species/leasan,https://en.wikipedia.org/wiki/Least_sandpiper,https://www.allaboutbirds.org/guide/Least_Sandpiper/overview,,,,,3 - fairly common,,3 - fairly common,3 - fairly common,4 - uncommon
White-rumped Sandpiper,--R--XX,https://upload.wikimedia.org/wikipedia/commons/7/7b/Calidris_fuscicollis_PLAYERO_RABADILLA_BLANCA.jpg,https://ebird.org/species/whrsan,https://en.wikipedia.org/wiki/White-rumped_sandpiper,https://www.allaboutbirds.org/guide/White-rumped_Sandpiper/overview,,,,,5 - rare,,,6 - extremely rare,6 - extremely rare
Buff-breasted Sandpiper,----XR-,https://upload.wikimedia.org/wikipedia/commons/b/b4/Tryngites_subruficollis_-USA-8.jpg,https://ebird.org/species/bubsan/,https://en.wikipedia.org/wiki/Buff-breasted_sandpiper,https://www.allaboutbirds.org/guide/Buff-breasted_Sandpiper/overview,,,,,,,6 - extremely rare,5 - rare,
Pectoral Sandpiper,-UF-FFU,https://upload.wikimedia.org/wikipedia/commons/9/96/Pectoral_Sandpiper3.jpg,https://ebird.org/species/pecsan,https://en.wikipedia.org/wiki/Pectoral_sandpiper,https://www.allaboutbirds.org/guide/Pectoral_Sandpiper/overview,,,,4 - uncommon,3 - fairly common,,3 - fairly common,3 - fairly common,4 - uncommon
Semipalmated Sandpiper,--U-UFR,https://upload.wikimedia.org/wikipedia/commons/0/00/Calidris-pusilla-001.jpg,https://ebird.org/species/semsan,https://en.wikipedia.org/wiki/Semipalmated_sandpiper,https://www.allaboutbirds.org/guide/Semipalmated_Sandpiper/overview,,,,,4 - uncommon,,4 - uncommon,3 - fairly common,5 - rare
Western Sandpiper,-----X-,https://upload.wikimedia.org/wikipedia/commons/5/51/Western_Sandpiper.jpg,https://ebird.org/species/wessan,https://en.wikipedia.org/wiki/Western_sandpiper,https://www.allaboutbirds.org/guide/Western_Sandpiper/overview,,,,,,,,6 - extremely rare,
Short-billed Dowitcher,--U-FU-,https://upload.wikimedia.org/wikipedia/commons/1/16/Limnodromus_griseus.jpg,https://ebird.org/species/shbdow,https://en.wikipedia.org/wiki/Short-billed_dowitcher,https://www.allaboutbirds.org/guide/Short-billed_Dowitcher/overview,,,,,4 - uncommon,,3 - fairly common,4 - uncommon,
Long-billed Dowitcher,--R-RUU,https://upload.wikimedia.org/wikipedia/commons/9/92/Limnodromus_scolopaceus_Mike_Baird_crop.jpg,https://ebird.org/species/lobdow,https://en.wikipedia.org/wiki/Long-billed_dowitcher,https://www.allaboutbirds.org/guide/Long-billed_Dowitcher/overview,,,,,5 - rare,,5 - rare,4 - uncommon,4 - uncommon
