bird,abundance,img,ebird,wikipedia,allaboutbirds,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall
Eastern Phoebe,XCFUUFU,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg,https://ebird.org/species/easpho/,https://en.wikipedia.org/wiki/Eastern_phoebe,https://www.allaboutbirds.org/guide/Eastern_Phoebe/overview,,,6 - extremely rare,2 - common,3 - fairly common,4 - uncommon,4 - uncommon,3 - fairly common,4 - uncommon
Great Crested Flycatcher,--CFFU-,https://upload.wikimedia.org/wikipedia/commons/0/02/Great_Crested_Flycatcher_RWD2.jpg,https://ebird.org/species/grcfly,https://en.wikipedia.org/wiki/Great_crested_flycatcher,https://www.allaboutbirds.org/guide/Great_Crested_Flycatcher/overview,,,,,2 - common,3 - fairly common,3 - fairly common,4 - uncommon,
Eastern Kingbird,--CCCU-,https://upload.wikimedia.org/wikipedia/commons/0/02/Tyrannus-tyrannus-001.jpg,https://ebird.org/species/easkin,https://en.wikipedia.org/wiki/Eastern_kingbird,https://www.allaboutbirds.org/guide/Eastern_Kingbird/overview,,,,,2 - common,2 - common,2 - common,4 - uncommon,
White-eyed Vireo,--RRRX-,https://upload.wikimedia.org/wikipedia/commons/1/1d/WhiteEyedVireoMaine.jpg,https://ebird.org/species/whevir/,https://en.wikipedia.org/wiki/White-eyed_vireo,https://www.allaboutbirds.org/guide/White-eyed_Vireo/overview,,,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,
Bell's Vireo,--UUR--,https://upload.wikimedia.org/wikipedia/commons/c/c1/Least_Bell%27s_Vireo_USGS_WERC.jpg,https://ebird.org/species/belvir,https://en.wikipedia.org/wiki/Bell's_vireo,https://www.allaboutbirds.org/guide/Bells_Vireo/overview,,,,,4 - uncommon,4 - uncommon,5 - rare,,
Yellow-throated Vireo,--URRUX,https://upload.wikimedia.org/wikipedia/commons/f/fa/Vireo-flavifrons-001.jpg,https://ebird.org/species/yetvir,https://en.wikipedia.org/wiki/Yellow-throated_vireo,https://www.allaboutbirds.org/guide/Yellow-throated_Vireo/overview,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,6 - extremely rare
Blue-headed Vireo,--U--UR,https://upload.wikimedia.org/wikipedia/commons/b/b5/Blue-headed_Vireo_%288088895251%29.jpg,https://ebird.org/species/buhvir,https://en.wikipedia.org/wiki/Blue-headed_vireo,https://www.allaboutbirds.org/guide/Blue-headed_Vireo/overview,,,,,4 - uncommon,,,4 - uncommon,5 - rare
Philadelphia Vireo,--U--U-,https://upload.wikimedia.org/wikipedia/commons/3/32/Vireo_philadelphicus.jpg,https://ebird.org/species/phivir/,https://en.wikipedia.org/wiki/Philadelphia_vireo,https://www.allaboutbirds.org/guide/Philadelphia_Vireo/overview,,,,,4 - uncommon,,,4 - uncommon,
Warbling Vireo,--FFUU-,https://upload.wikimedia.org/wikipedia/commons/c/cc/WarblingVireo08.jpg,https://ebird.org/species/warvir/,https://en.wikipedia.org/wiki/Warbling_vireo,https://www.allaboutbirds.org/guide/Warbling_Vireo/overview,,,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,
Red-eyed Vireo,--CFFCX,https://upload.wikimedia.org/wikipedia/commons/0/03/Vireo_olivaceus_-Madison_-Wisconsin_-USA-8.jpg,https://ebird.org/species/reevir1,https://en.wikipedia.org/wiki/Red-eyed_vireo,https://www.allaboutbirds.org/guide/Red-eyed_Vireo/overview,,,,,2 - common,3 - fairly common,3 - fairly common,2 - common,6 - extremely rare
Loggerhead Shrike,---XX--,https://upload.wikimedia.org/wikipedia/commons/7/73/Lanius_ludovicianus_-Texas_-USA-8-4c.jpg,https://ebird.org/species/logshr,https://en.wikipedia.org/wiki/Loggerhead_shrike,https://www.allaboutbirds.org/guide/Loggerhead_Shrike/overview,,,,,,6 - extremely rare,6 - extremely rare,,
Blue Jay,UUCFFCF,https://upload.wikimedia.org/wikipedia/commons/0/04/Cyanocitta-cristata-004.jpg,https://ebird.org/species/blujay,https://en.wikipedia.org/wiki/Blue_jay,https://www.allaboutbirds.org/guide/Blue_Jay/overview,,,4 - uncommon,4 - uncommon,2 - common,3 - fairly common,3 - fairly common,2 - common,3 - fairly common
American Crow,UUUUUUU,https://upload.wikimedia.org/wikipedia/commons/0/0a/Corvus-brachyrhynchos-001.jpg,https://ebird.org/species/amecro,https://en.wikipedia.org/wiki/American_crow,https://www.allaboutbirds.org/guide/American_Crow/overview,,,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon
Black-capped Chickadee,CCCCCCC,https://upload.wikimedia.org/wikipedia/commons/4/4a/Poecile-atricapilla-001.jpg,https://ebird.org/species/bkcchi,https://en.wikipedia.org/wiki/Black-capped_chickadee,https://www.allaboutbirds.org/guide/Black-capped_Chickadee/overview,,,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common
Tufted Titmouse,RRRXXXR,https://upload.wikimedia.org/wikipedia/commons/6/6e/Baeolophus_bicolor_15.jpeg,https://ebird.org/species/tuftit,https://en.wikipedia.org/wiki/Tufted_titmouse,https://www.allaboutbirds.org/guide/Tufted_Titmouse/overview,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,6 - extremely rare,5 - rare
Horned Lark,FFURRUF,https://upload.wikimedia.org/wikipedia/commons/5/54/Shore_Lark.jpg,https://ebird.org/species/horlar,https://en.wikipedia.org/wiki/Horned_lark,https://www.allaboutbirds.org/guide/Horned_Lark/overview,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,5 - rare,4 - uncommon,3 - fairly common
Purple Martin,-RURUU-,,https://ebird.org/species/purmar,https://en.wikipedia.org/wiki/Purple_martin,https://www.allaboutbirds.org/guide/Purple_Martin/overview,https://upload.wikimedia.org/wikipedia/commons/b/b9/PurpleMartin_cajay.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Progne_subis_-Chicago%2C_USA_-female-8.jpg,,5 - rare,4 - uncommon,5 - rare,4 - uncommon,4 - uncommon,
Tree Swallow,-CCCFFR,https://upload.wikimedia.org/wikipedia/commons/5/5e/Tree_swallow_at_Stroud_Preserve.jpg,https://ebird.org/species/treswa,https://en.wikipedia.org/wiki/Tree_swallow,https://www.allaboutbirds.org/guide/Tree_Swallow/overview,,,,2 - common,2 - common,2 - common,3 - fairly common,3 - fairly common,5 - rare
N. Rough-winged Swallow,-RFUFR-,https://upload.wikimedia.org/wikipedia/commons/2/2a/Northern_rough-winged_swallow_7435.jpg,https://ebird.org/species/nrwswa/,https://en.wikipedia.org/wiki/Northern_rough-winged_swallow,https://www.allaboutbirds.org/guide/Northern_Rough-winged_Swallow/overview,,,,5 - rare,3 - fairly common,4 - uncommon,3 - fairly common,5 - rare,
Bank Swallow,--UUFR-,https://upload.wikimedia.org/wikipedia/commons/0/04/Riparia_riparia_-Markinch%2C_Fife%2C_Scotland_-flying-8-4c.jpg,https://ebird.org/species/banswa,https://en.wikipedia.org/wiki/Sand_martin,https://www.allaboutbirds.org/guide/Bank_Swallow/overview,,,,,4 - uncommon,4 - uncommon,3 - fairly common,5 - rare,
Cliff Swallow,--RRUR-,https://upload.wikimedia.org/wikipedia/commons/2/2e/Petrochelidon_pyrrhonota_1894.jpg,https://ebird.org/species/cliswa,https://en.wikipedia.org/wiki/Cliff_swallow,https://www.allaboutbirds.org/guide/Cliff_Swallow/overview,,,,,5 - rare,5 - rare,4 - uncommon,5 - rare,
Barn Swallow,-UCCCCU,https://upload.wikimedia.org/wikipedia/commons/3/31/BarnSwallow_cajay.jpg,https://ebird.org/species/barswa,https://en.wikipedia.org/wiki/Barn_swallow,https://www.allaboutbirds.org/guide/Barn_Swallow/overview,,,,4 - uncommon,2 - common,2 - common,2 - common,2 - common,4 - uncommon
Golden-crowned Kinglet,RFFXXRF,https://upload.wikimedia.org/wikipedia/commons/8/84/Regulus_satrapa_-Canada-8a.jpg,https://ebird.org/species/gockin,https://en.wikipedia.org/wiki/Golden-crowned_kinglet,https://www.allaboutbirds.org/guide/Golden-crowned_Kinglet/overview,,,5 - rare,3 - fairly common,3 - fairly common,6 - extremely rare,6 - extremely rare,5 - rare,3 - fairly common
Ruby-crowned Kinglet,XUF--UF,https://upload.wikimedia.org/wikipedia/commons/1/11/Ruby-crowned_Kinglet.jpg,https://ebird.org/species/ruckin,https://en.wikipedia.org/wiki/Ruby-crowned_kinglet,https://www.allaboutbirds.org/guide/Ruby-crowned_Kinglet/overview,,,6 - extremely rare,4 - uncommon,3 - fairly common,,,4 - uncommon,3 - fairly common
Red-breasted Nuthatch,UURXXRU,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sitta_canadensis_CT2.jpg,https://ebird.org/species/rebnut,https://en.wikipedia.org/wiki/Red-breasted_nuthatch,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch/overview,,,4 - uncommon,4 - uncommon,5 - rare,6 - extremely rare,6 - extremely rare,5 - rare,4 - uncommon
White-breasted Nuthatch,FFUUUUF,https://upload.wikimedia.org/wikipedia/commons/0/09/Sitta-carolinensis-001.jpg,https://ebird.org/species/whbnut,https://en.wikipedia.org/wiki/White-breasted_nuthatch,https://www.allaboutbirds.org/guide/White-breasted_Nuthatch/overview,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common
Brown Creeper,UFU--RF,https://upload.wikimedia.org/wikipedia/commons/f/fc/Certhia-americana-001.jpg,https://ebird.org/species/brncre/,https://en.wikipedia.org/wiki/Brown_creeper,https://www.allaboutbirds.org/guide/Brown_Creeper/overview,,,4 - uncommon,3 - fairly common,4 - uncommon,,,5 - rare,3 - fairly common
Blue-gray Gnatcatcher,-RFFFU-,https://upload.wikimedia.org/wikipedia/commons/e/e8/Blue-gray_Gnatcatcher_-_Cuba_S4E0108_%2819293820712%29.jpg,https://ebird.org/species/buggna,https://en.wikipedia.org/wiki/Blue-gray_gnatcatcher,https://www.allaboutbirds.org/guide/Blue-gray_Gnatcatcher/overview,,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,4 - uncommon,
House Wren,--CFFFR,https://upload.wikimedia.org/wikipedia/commons/c/c3/House_wren_in_full_song_cropped.png,https://ebird.org/species/houwre,https://en.wikipedia.org/wiki/House_wren,https://www.allaboutbirds.org/guide/House_Wren/overview,,,,,2 - common,3 - fairly common,3 - fairly common,3 - fairly common,5 - rare
Winter Wren,RUR---U,https://upload.wikimedia.org/wikipedia/commons/7/73/Troglodytes_hiemalis_Central_Park_NY.jpg,https://ebird.org/species/winwre3,https://en.wikipedia.org/wiki/Winter_wren,https://www.allaboutbirds.org/guide/Winter_Wren/overview,,,5 - rare,4 - uncommon,5 - rare,,,,4 - uncommon
Sedge Wren,--UUURR,https://upload.wikimedia.org/wikipedia/commons/d/de/Sedge_Wren_%2831204304001%29.jpg,https://ebird.org/species/sedwre,https://en.wikipedia.org/wiki/Sedge_wren,https://www.allaboutbirds.org/guide/Sedge_Wren/overview,,,,,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare,5 - rare
Marsh Wren,XXFFUUU,https://upload.wikimedia.org/wikipedia/commons/8/85/Cistothorus_palustris_-Reifel_Island%2C_Vancouver-8.jpg,https://ebird.org/species/marwre,https://en.wikipedia.org/wiki/Marsh_wren,https://www.allaboutbirds.org/guide/Marsh_Wren/overview,,,6 - extremely rare,6 - extremely rare,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon
Carolina Wren,RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/6/65/Carolina_Wren1.jpg,https://ebird.org/species/carwre,https://en.wikipedia.org/wiki/Carolina_wren,https://www.allaboutbirds.org/guide/Carolina_Wren/overview,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare
European Starling,AAAAAAA,https://upload.wikimedia.org/wikipedia/commons/7/7d/Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_3.jpg,https://ebird.org/species/eursta,https://en.wikipedia.org/wiki/Common_starling,https://www.allaboutbirds.org/guide/European_Starling/overview,,,1 - abundant,1 - abundant,1 - abundant,1 - abundant,1 - abundant,1 - abundant,1 - abundant
Gray Catbird,X-CCCCU,https://upload.wikimedia.org/wikipedia/commons/c/c4/Gray-Catbird.png,https://ebird.org/species/grycat,https://en.wikipedia.org/wiki/Gray_catbird,https://www.allaboutbirds.org/guide/Gray_Catbird/overview,,,6 - extremely rare,,2 - common,2 - common,2 - common,2 - common,4 - uncommon
Brown Thrasher,XUFFUUR,https://upload.wikimedia.org/wikipedia/commons/b/bb/Toxostoma_rufum_-Garland%2C_Texas%2C_USA-8.jpg,https://ebird.org/species/brnthr,https://en.wikipedia.org/wiki/Brown_thrasher,https://www.allaboutbirds.org/guide/Brown_Thrasher/overview,,,6 - extremely rare,4 - uncommon,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,5 - rare
Northern Mockingbird,--RRRX-,https://upload.wikimedia.org/wikipedia/commons/0/09/Mimus_polyglottos_adult_02_cropped.jpg,https://ebird.org/species/normoc,https://en.wikipedia.org/wiki/Northern_mockingbird,https://www.allaboutbirds.org/guide/Northern_Mockingbird/overview,,,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,
Eastern Bluebird,RFFFFFR,https://upload.wikimedia.org/wikipedia/commons/0/00/Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg,https://ebird.org/species/easblu/,https://en.wikipedia.org/wiki/Eastern_bluebird,https://www.allaboutbirds.org/guide/Eastern_Bluebird/overview,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,5 - rare
Veery,--FRRU-,https://upload.wikimedia.org/wikipedia/commons/3/3f/Catharus_fuscescens_CT.jpg,https://ebird.org/species/veery,https://en.wikipedia.org/wiki/Veery,https://www.allaboutbirds.org/guide/veery/overview,,,,,3 - fairly common,5 - rare,5 - rare,4 - uncommon,
Gray-cheeked Thrush,--U--UR,https://upload.wikimedia.org/wikipedia/commons/5/5a/Graycheekedthrush36.jpg,https://ebird.org/species/gycthr,https://en.wikipedia.org/wiki/Grey-cheeked_thrush,https://www.allaboutbirds.org/guide/gray-cheeked_thrush/overview#,,,,,4 - uncommon,,,4 - uncommon,5 - rare
Swainson's Thrush,--F--FR,https://upload.wikimedia.org/wikipedia/commons/3/35/Catharus_ustulatus_-North_Dakota-8a.jpg,https://ebird.org/species/swathr,https://en.wikipedia.org/wiki/Swainson's_thrush,https://www.allaboutbirds.org/guide/swainsons_thrush/overview,,,,,3 - fairly common,,,3 - fairly common,5 - rare
Hermit Thrush,RRF--FF,https://upload.wikimedia.org/wikipedia/commons/d/d3/Hermit_thrush_qmnonic.jpg,https://ebird.org/species/herthr,https://en.wikipedia.org/wiki/Hermit_thrush,https://www.allaboutbirds.org/guide/Hermit_Thrush/overview,,,5 - rare,5 - rare,3 - fairly common,,,3 - fairly common,3 - fairly common
Wood Thrush,--FFUR-,https://upload.wikimedia.org/wikipedia/commons/3/30/Hylocichla_mustelina_%28cropped%29.jpg,https://ebird.org/species/woothr,https://en.wikipedia.org/wiki/Wood_thrush,https://www.allaboutbirds.org/guide/Wood_Thrush/overview#,,,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,
American Robin,UCAAAAF,https://upload.wikimedia.org/wikipedia/commons/b/b8/Turdus-migratorius-002.jpg,https://ebird.org/species/amerob,https://en.wikipedia.org/wiki/American_robin,https://www.allaboutbirds.org/guide/American_Robin/overview#,,,4 - uncommon,2 - common,1 - abundant,1 - abundant,1 - abundant,1 - abundant,3 - fairly common
Cedar Waxwing,UUFFFFF,https://upload.wikimedia.org/wikipedia/commons/7/73/Cedar_Waxwing_-_Bombycilla_cedrorum%2C_George_Washington%27s_Birthplace_National_Monument%2C_Colonial_Beach%2C_Virginia_%2839997434862%29.jpg,https://ebird.org/species/cedwax,https://en.wikipedia.org/wiki/Cedar_waxwing,https://www.allaboutbirds.org/guide/Cedar_Waxwing/overview,,,4 - uncommon,4 - uncommon,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common
House Sparrow,CCCCCCC,https://upload.wikimedia.org/wikipedia/commons/6/6e/Passer_domesticus_male_%2815%29.jpg,https://ebird.org/species/houspa/L1352153,https://en.wikipedia.org/wiki/House_sparrow,https://www.allaboutbirds.org/guide/House_Sparrow/overview,,,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common
American Pipit,XXR--RU,https://upload.wikimedia.org/wikipedia/commons/0/07/Anthus_rubescens_-Harney_County%2C_Oregon%2C_USA-8.jpg,https://ebird.org/species/amepip,https://en.wikipedia.org/wiki/Buff-bellied_pipit,https://www.allaboutbirds.org/guide/American_Pipit/overview,,,6 - extremely rare,6 - extremely rare,5 - rare,,,5 - rare,4 - uncommon
House Finch,FCCCCCF,,https://ebird.org/species/houfin,https://en.wikipedia.org/wiki/House_finch,https://www.allaboutbirds.org/guide/House_Finch/overview,https://upload.wikimedia.org/wikipedia/commons/3/30/Carpodacus_mexicanus_-Madison%2C_Wisconsin%2C_USA-8.jpg,https://upload.wikimedia.org/wikipedia/commons/9/99/House_Finch%2C_Stratham%2C_NH.jpg,3 - fairly common,2 - common,2 - common,2 - common,2 - common,2 - common,3 - fairly common
Purple Finch,RRU--UR,,https://ebird.org/species/purfin,https://en.wikipedia.org/wiki/Purple_finch,https://www.allaboutbirds.org/guide/Purple_Finch/overview,https://upload.wikimedia.org/wikipedia/commons/4/42/Carpodacus_purpureus_CT3.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Carpodacus_purpureus_CT4.jpg,5 - rare,5 - rare,4 - uncommon,,,4 - uncommon,5 - rare
Common Redpoll,FU----U,https://upload.wikimedia.org/wikipedia/commons/f/f8/Carduelis_flammea_CT6.jpg,https://ebird.org/species/comred/,https://en.wikipedia.org/wiki/Common_redpoll,https://www.allaboutbirds.org/guide/Common_Redpoll/overview,,,3 - fairly common,4 - uncommon,,,,,4 - uncommon
Red Crossbill,URX---R,,https://ebird.org/species/redcro/,https://en.wikipedia.org/wiki/Red_crossbill,https://www.allaboutbirds.org/guide/Red_Crossbill/overview#,https://upload.wikimedia.org/wikipedia/commons/4/49/Red_Crossbills_%28Male%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Red_Crossbill_%28Female%29.jpg,4 - uncommon,5 - rare,6 - extremely rare,,,,5 - rare
White-winged Crossbill,UR-----,,https://ebird.org/species/whwcro,https://en.wikipedia.org/wiki/Two-barred_crossbill,https://www.allaboutbirds.org/guide/White-winged_Crossbill/overview,https://upload.wikimedia.org/wikipedia/commons/4/46/Whitewingedcrossbillmale09.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/White-winged_Crossbill_-_female.jpg,4 - uncommon,5 - rare,,,,,
Pine Siskin,FFRXXXF,https://upload.wikimedia.org/wikipedia/commons/2/2e/Carduelis_pinus_CT7.jpg,https://ebird.org/species/pinsis,https://en.wikipedia.org/wiki/Pine_siskin,https://www.allaboutbirds.org/guide/Pine_Siskin/overview,,,3 - fairly common,3 - fairly common,5 - rare,6 - extremely rare,6 - extremely rare,6 - extremely rare,3 - fairly common
American Goldfinch,FFCCCCC,,https://ebird.org/species/amegfi,https://en.wikipedia.org/wiki/American_goldfinch,https://www.allaboutbirds.org/guide/American_Goldfinch/overview,https://upload.wikimedia.org/wikipedia/commons/a/a0/Male_American_Goldfinch_in_Lodi_CA.JPG,https://upload.wikimedia.org/wikipedia/commons/b/b1/Female_american_goldfinch.jpg,3 - fairly common,3 - fairly common,2 - common,2 - common,2 - common,2 - common,2 - common
Lapland Longspur,URX---U,,https://ebird.org/species/laplon,https://en.wikipedia.org/wiki/Lapland_longspur,https://www.allaboutbirds.org/guide/Lapland_Longspur/overview,https://upload.wikimedia.org/wikipedia/commons/6/61/Lapland_Longspur_-_Calcarius_lapponicus_-_Sportittlingur_1.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Calcarius_lapponicus_%28female%29_1996-07-25.jpg,4 - uncommon,5 - rare,6 - extremely rare,,,,4 - uncommon
Snow Bunting,UR----U,,,https://en.wikipedia.org/wiki/Snow_bunting,https://www.allaboutbirds.org/guide/Snow_Bunting/overview,https://upload.wikimedia.org/wikipedia/commons/0/0f/Plectrophenax_nivalis1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/SnowBunting-MtA.jpg,4 - uncommon,5 - rare,,,,,4 - uncommon
Grasshopper Sparrow,--FUUR-,https://upload.wikimedia.org/wikipedia/commons/c/c2/Grasshopper_Sparrow.jpg,https://ebird.org/species/graspa,https://en.wikipedia.org/wiki/Grasshopper_sparrow,https://www.allaboutbirds.org/guide/Grasshopper_Sparrow/overview,,,,,3 - fairly common,4 - uncommon,4 - uncommon,5 - rare,
Chipping Sparrow,-UFFFUR,https://upload.wikimedia.org/wikipedia/commons/2/29/Spizella-passerina-015_edit.jpg,https://ebird.org/species/chispa/,https://en.wikipedia.org/wiki/Chipping_sparrow,https://www.allaboutbirds.org/guide/Chipping_Sparrow/overview,,,,4 - uncommon,3 - fairly common,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare
Clay-colored Sparrow,--URXRR,https://upload.wikimedia.org/wikipedia/commons/e/eb/Spizella_pallida4_edit.jpg,https://ebird.org/species/clcspa,https://en.wikipedia.org/wiki/Clay-colored_sparrow,https://www.allaboutbirds.org/guide/Clay-colored_Sparrow/overview,,,,,4 - uncommon,5 - rare,6 - extremely rare,5 - rare,5 - rare
Field Sparrow,RRCFFUU,https://upload.wikimedia.org/wikipedia/commons/a/ad/Field_sparrow_head.JPG,https://ebird.org/species/fiespa,https://en.wikipedia.org/wiki/Field_sparrow,https://www.allaboutbirds.org/guide/Field_Sparrow/overview,,,5 - rare,5 - rare,2 - common,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon
Lark Sparrow,--RR---,https://upload.wikimedia.org/wikipedia/commons/7/79/LarkSparrow.jpg,https://ebird.org/species/larspa,https://en.wikipedia.org/wiki/Lark_sparrow,https://www.allaboutbirds.org/guide/Lark_Sparrow/overview,,,,,5 - rare,5 - rare,,,
American Tree Sparrow,CFX---F,https://upload.wikimedia.org/wikipedia/commons/c/cf/Spizella-arborea-002_edit2.jpg,https://ebird.org/species/amtspa,https://en.wikipedia.org/wiki/American_tree_sparrow,https://www.allaboutbirds.org/guide/American_Tree_Sparrow/overview,,,2 - common,3 - fairly common,6 - extremely rare,,,,3 - fairly common
Fox Sparrow,RFX---F,https://upload.wikimedia.org/wikipedia/commons/1/13/Passerella_iliaca-001.jpg,https://ebird.org/species/foxspa,https://en.wikipedia.org/wiki/Fox_sparrow,https://www.allaboutbirds.org/guide/Fox_Sparrow/overview,,,5 - rare,3 - fairly common,6 - extremely rare,,,,3 - fairly common
Dark-eyed Junco,CCR---C,,https://ebird.org/species/daejun,https://en.wikipedia.org/wiki/Dark-eyed_junco,https://www.allaboutbirds.org/guide/Dark-eyed_Junco/overview,https://upload.wikimedia.org/wikipedia/commons/f/ff/Dark-eyed_Junco-27527.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Junco_hyemalis_hyemalis_CT2.jpg,2 - common,2 - common,5 - rare,,,,2 - common
White-crowned Sparrow,RRF---F,https://upload.wikimedia.org/wikipedia/commons/9/92/White-crowned-Sparrow.jpg,https://ebird.org/species/whcspa,https://en.wikipedia.org/wiki/White-crowned_sparrow,https://www.allaboutbirds.org/guide/White-crowned_Sparrow/overview,,,5 - rare,5 - rare,3 - fairly common,,,,3 - fairly common
Harris's Sparrow,X-----X,https://upload.wikimedia.org/wikipedia/commons/9/99/Harris%27s_Sparrow_%2814u0779_std%29_%28cropped%29.jpg,https://ebird.org/species/harspa/,https://en.wikipedia.org/wiki/Harris's_sparrow,https://www.allaboutbirds.org/guide/Harriss_Sparrow/overview,,,6 - extremely rare,,,,,,6 - extremely rare
